counter, best train, best val, hidden laters, reg, lr, xav, method, drop
counter, best train, best val, hidden laters, reg, lr, xav, method, drop
1,0.4240773809523809,0.4228571428571428,100 50,0.24547795856837978,3.444092223514855e-05,False,sgd,0.8
3,0.15220238095238092,0.1529761904761905,100 50,0.24547795856837978,3.444092223514855e-05,False,adam,0.5
5,0.01985119047619044,0.03630952380952379,100,0.24547795856837978,0.000703666856657875,False,sgd,1
19,0.023541666666666683,0.03607142857142853,100,0.24547795856837978,3.444092223514855e-05,False,adam,0.8
67,0.015416666666666634,0.03142857142857147,100 50,0.017934325582536548,0.000703666856657875,True,adam,1
